ROLL NO.,GENDER ,SOFTWARE ENGINEER,TOC,COMPUTER NETWORK ,MACHINE LEARNING ,DATA WAREHOUSE ,GRADE ,RESULT 
240104010001,M,30,30,30,30,30,C,PASS
240104010002,F,30,40,45,40,35,B,Pass
240104010003,M,38,38,38,38,38,B,Pass
240104010004,M,59,55,57,58,54,A,pass
240104010005,M,30,30,30,30,30,C,Pass
240104010006,M,40,40,30,40,40,C,Pass
240104010007,F,30,30,30,30,30,P,pass
240104010008,M,30,40,30,40,40,B,pass
240104010001,M,30,40,25,40,20,P,Pass
240104010001,M,25,25,25,25,25,P,Pass
240104010001,M,35,35,35,35,35,C,Pass
240104010001,M,,,,,,,
2401040100012,F,40,45,45,35,35,B,Pass
240104010013,F,,,,,,,
240104010014,F,59,59,59,60,60,O,Pass
240104010015,MALE,45,47,50,40,55,A,pass
240104010001,M,56,41,48,29,45,B,PASS
2401040100016,female,35,40,35,39,36,B,Pass
240104010017,M,40,40,40,40,40,B,pass
240104010018,male,24,25,26,27,28,O,Fail
240104010019,Female ,57,58,57,56,59,O,Pass
240104010021,M,45,45,45,45,45,B,Pass
240104010022,Male,,,,,,,
240104010023,M,30,30,30,30,30,C,Pass
240104010024,Female,60,58,60,59,61,O,Pass
240104010025,M,,,,,,,
,,,,,,,,
240104010026,F,50,50,50,50,50,O,Pass
240104010027,M,45,40,42,43,42,B,pass
240104010028,M,60,60,60,60,60,O,pass
240104010029,Male ,20,30,4,27,29,F,Fail
240104010030,F,60,60,60,60,60,O,pass
,,,,,,,,
240104010032,Male ,33,63,56,99,48,B,Pass
240104010033,F,55,50,50,50,50,,pass 
240104010034,F,60,60,60,60,60,O,pass
240104010035,Male,50,55,60,60,35,A,Pass
240104010036,Male,45,46,47,48,49,A,pass
240104010037,Male,40,40,40,40,40,A,Pass
,,,,,,,,
240104010039,Female,55,58,60,59,55,O,Pass
240104010040,Female ,60,59,60,58,57,A+,PASS
240104010041,M,54,55,53,54,52,O,Pass
240104010042,Female ,54,55,56,57,58,A+,pass
240104010043,MALE,10,20,13,24,5,1,FAIL
240104010044,F,60,60,60,60,60,O,Pass
240104010045,M,60,60,60,60,60,O,Pass
240104010046,Mens,0,1,2,3,67,O,Fail
240104010047,M,30,30,30,30,30,B,Pass
240104010048,M,35,30,30,35,30,B,Pass
240104010049,F,35,35,35,35,35,B,Pass
240104010050,M,59,59,59,60,60,O,Pass
,,,,,,,,
,,,,,,,,
240104010053,M,40,40,40,40,40,A,Pass
240104010054,M,55,55,55,55,55,A+,PASS
240104010055,F,58,55,60,59,60,O,Pass
240104010056,FEMALE,64,99,87,93,97,O+,PASS
240104010057,Female,60,60,60,59,60,O,Pass
,,,,,,,,
240104010059,M,40,40,45,40,40,A,pass
,M,40,40,40,40,40,A,Pass
240104010061,M,-10,-20,-15,-60,-2,F,Discharge 
240104010062,Male,50,45,50,45,50,A,pass
240104010063,M,49,49,49,49,49,A,Pass
,,,,,,,,
,,,,,,,,
240104010066,Female ,55,56,57,58,59,A+,pass
240104010067,MaLe,30,30,30,30,30,c,pass
240104010068,Female ,38,46,43,39,39,A ,pass
240104010069,Male,35,35,35,35,35,B,Pass
240104010070,male,30,30,30,30,30,C,pass
,,,,,,,,
,,,,,,,,
240104010074,Male,55,55,55,55,55,A,Pass
240104010075,male,40,42,41,43,50,B,Pass
,,,,,,,,
,,,,,,,,
,,,,,,,,
2520104002,M,45,50,48,52,50,A,Pass
2520104003,female,40,30,25,26,28,P,Pass
2520104004,M,24,25,26,27,24,P,Pass
,,,,,,,,
2520104006,F,30,30,30,30,30,B,Pass
2520104007,F,45,40,50,48,46,A,pass
2520104008,F,35,30,40,45,48,B,Pass
