GENDER ,SOFTWARE ENGINEER,TOC,COMPUTER NETWORK ,MACHINE LEARNING ,DATA WAREHOUSE ,GRADE ,RESULT 
M,30.0,30.0,30.0,30.0,30.0,C,PASS
F,30.0,40.0,45.0,40.0,35.0,B,Pass
M,38.0,38.0,38.0,38.0,38.0,B,Pass
M,59.0,55.0,57.0,58.0,54.0,A,pass
M,30.0,30.0,30.0,30.0,30.0,C,Pass
M,40.0,40.0,30.0,40.0,40.0,C,Pass
F,30.0,30.0,30.0,30.0,30.0,P,pass
M,30.0,40.0,30.0,40.0,40.0,B,pass
M,30.0,40.0,25.0,40.0,20.0,P,Pass
M,25.0,25.0,25.0,25.0,25.0,P,Pass
M,35.0,35.0,35.0,35.0,35.0,C,Pass
M,,,,,,,
F,40.0,45.0,45.0,35.0,35.0,B,Pass
F,,,,,,,
F,59.0,59.0,59.0,60.0,60.0,O,Pass
MALE,45.0,47.0,50.0,40.0,55.0,A,pass
M,56.0,41.0,48.0,29.0,45.0,B,PASS
female,35.0,40.0,35.0,39.0,36.0,B,Pass
M,40.0,40.0,40.0,40.0,40.0,B,pass
male,24.0,25.0,26.0,27.0,28.0,O,Fail
Female ,57.0,58.0,57.0,56.0,59.0,O,Pass
M,45.0,45.0,45.0,45.0,45.0,B,Pass
Male,,,,,,,
M,30.0,30.0,30.0,30.0,30.0,C,Pass
Female,60.0,58.0,60.0,59.0,61.0,O,Pass
M,,,,,,,
,,,,,,,
F,50.0,50.0,50.0,50.0,50.0,O,Pass
M,45.0,40.0,42.0,43.0,42.0,B,pass
M,60.0,60.0,60.0,60.0,60.0,O,pass
Male ,20.0,30.0,4.0,27.0,29.0,F,Fail
F,60.0,60.0,60.0,60.0,60.0,O,pass
,,,,,,,
Male ,33.0,63.0,56.0,99.0,48.0,B,Pass
F,55.0,50.0,50.0,50.0,50.0,,pass 
F,60.0,60.0,60.0,60.0,60.0,O,pass
Male,50.0,55.0,60.0,60.0,35.0,A,Pass
Male,45.0,46.0,47.0,48.0,49.0,A,pass
Male,40.0,40.0,40.0,40.0,40.0,A,Pass
,,,,,,,
Female,55.0,58.0,60.0,59.0,55.0,O,Pass
Female ,60.0,59.0,60.0,58.0,57.0,A+,PASS
M,54.0,55.0,53.0,54.0,52.0,O,Pass
Female ,54.0,55.0,56.0,57.0,58.0,A+,pass
MALE,10.0,20.0,13.0,24.0,5.0,1,FAIL
F,60.0,60.0,60.0,60.0,60.0,O,Pass
M,60.0,60.0,60.0,60.0,60.0,O,Pass
Mens,0.0,1.0,2.0,3.0,67.0,O,Fail
M,30.0,30.0,30.0,30.0,30.0,B,Pass
M,35.0,30.0,30.0,35.0,30.0,B,Pass
F,35.0,35.0,35.0,35.0,35.0,B,Pass
M,59.0,59.0,59.0,60.0,60.0,O,Pass
,,,,,,,
,,,,,,,
M,40.0,40.0,40.0,40.0,40.0,A,Pass
M,55.0,55.0,55.0,55.0,55.0,A+,PASS
F,58.0,55.0,60.0,59.0,60.0,O,Pass
FEMALE,64.0,99.0,87.0,93.0,97.0,O+,PASS
Female,60.0,60.0,60.0,59.0,60.0,O,Pass
,,,,,,,
M,40.0,40.0,45.0,40.0,40.0,A,pass
M,40.0,40.0,40.0,40.0,40.0,A,Pass
M,-10.0,-20.0,-15.0,-60.0,-2.0,F,Discharge 
Male,50.0,45.0,50.0,45.0,50.0,A,pass
M,49.0,49.0,49.0,49.0,49.0,A,Pass
,,,,,,,
,,,,,,,
Female ,55.0,56.0,57.0,58.0,59.0,A+,pass
MaLe,30.0,30.0,30.0,30.0,30.0,c,pass
Female ,38.0,46.0,43.0,39.0,39.0,A ,pass
Male,35.0,35.0,35.0,35.0,35.0,B,Pass
male,30.0,30.0,30.0,30.0,30.0,C,pass
,,,,,,,
,,,,,,,
Male,55.0,55.0,55.0,55.0,55.0,A,Pass
male,40.0,42.0,41.0,43.0,50.0,B,Pass
,,,,,,,
,,,,,,,
,,,,,,,
M,45.0,50.0,48.0,52.0,50.0,A,Pass
female,40.0,30.0,25.0,26.0,28.0,P,Pass
M,24.0,25.0,26.0,27.0,24.0,P,Pass
,,,,,,,
F,30.0,30.0,30.0,30.0,30.0,B,Pass
F,45.0,40.0,50.0,48.0,46.0,A,pass
F,35.0,30.0,40.0,45.0,48.0,B,Pass
